品名,URL,メーカー,名称,保存期間,内容量,原材料,アレルゲン
無添加ツナ70g,https://www.hoteifoods.co.jp/products/t-04/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,70g,きはだまぐろ、野菜エキス、こんぶエキス、食塩,None
ライトツナフレーク1/2（まぐろ） タイ産 GP4号,https://www.hoteifoods.co.jp/products/t-09/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,70g,きはだまぐろ、大豆油、食塩、野菜エキス／調味料（アミノ酸）,大豆
ライトツナフレーク1/2（かつお） タイ産 GP4号,https://www.hoteifoods.co.jp/products/t-10/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,70g,かつお、大豆油、食塩、野菜エキス／調味料（アミノ酸）,大豆
液切りいらずのしっとりツナ油漬 タイ産 55g,https://www.hoteifoods.co.jp/products/t-11/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,55g,きはだまぐろ、大豆油、野菜エキス、食塩、醤油（小麦を含む）／増粘多糖類,小麦、大豆
液切りいらずのしっとりツナ水煮 タイ産 55g,https://www.hoteifoods.co.jp/products/t-12/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,55g,きはだまぐろ、野菜エキス、食塩、醤油（大豆・小麦を含む）／増粘多糖類,小麦、大豆
液切りいらずのしっとりツナコーン タイ産 55g,https://www.hoteifoods.co.jp/products/t-13/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,55g,きはだまぐろ、コーン（非遺伝子組換）、大豆油、野菜エキス、食塩、醤油（小麦を含む）／増粘多糖類,小麦、大豆
ツナ＆コーン,https://www.inaba-foods.jp/products/detail/21,いなば食品株式会社,水産缶詰,約3年,115g,かつお、スイートコーン、大豆油、食塩、野菜エキス、調味料（アミノ酸等）,大豆
ライトツナDHA,https://www.inaba-foods.jp/products/detail/181,いなば食品株式会社,水産缶詰,約3年,70g,キハダまぐろ、大豆油、野菜スープ、ナチュラルミネラルウォーター、たんぱく加水分解物、食塩、DHA含有精製魚油、オリーブ油、しいたけエキス、昆布エキス、緑茶抽出物,大豆
ライトツナ アマニ油,https://www.inaba-foods.jp/products/detail/195,いなば食品株式会社,水産缶詰,約3年,70g,きはだまぐろ、野菜スープ、アマニ油、食塩、寒天、ビタミンE,None
ライトツナ スーパーノンオイル,https://www.inaba-foods.jp/products/detail/2,いなば食品株式会社,水産缶詰,約3年,70g,きはだまぐろ、野菜スープ、ナチュラルミネラルウォーター、食塩、帆立貝エキス、調味料（アミノ酸等）、紅藻抽出物,None
