品名,URL,メーカー,名称,保存期間,内容量,出来上がり量,原材料,アレルゲン
アルファ化米（カレーご飯）,https://www.nozomi-f.jp/products.html,希望食品株式会社,アルファ米,5年,100g,None,うるち米（国産）、とうもろこし、にんじん、たまねぎ、食塩、風味調味料、砂糖、カレー粉、塩麹、ココナッツミルク、果実酢、クミン、コリアンダー、シナモン、うこん、にんにく、しょうが、食物油脂、ローレル／酒精、酸味料,なし
アルファ化米（ガーリックトマトご飯）,https://www.nozomi-f.jp/products.html,希望食品株式会社,アルファ米,5年,100g,None,うるち米(国産)、トマト、たまねぎ、にんじん、食塩、コーン、にんにく、パプリカ、こんぶだし、純米酒、かつおだし、果実酢、植物油脂／酸味料,なし
アルファ化米（しろ飯）,https://www.nozomi-f.jp/products.html,希望食品株式会社,アルファ米,5年,100g,None,うるち米（国産）,なし
アルファ化米（玄米ご飯）,https://www.nozomi-f.jp/products.html,希望食品株式会社,アルファ米,5年,71g,None,うるち米（国産）,なし
アルファ化米（しろがゆ）,https://www.nozomi-f.jp/products.html,希望食品株式会社,アルファ米,5年,40g,None,うるち米（国産）,なし
アルファ化米（梅がゆ）,https://www.nozomi-f.jp/products.html,希望食品株式会社,アルファ米,5年,42g,None,うるち米（国産）、うめ漬け、しそ塩漬け,なし
米々軒 鶏ごぼうご飯,http://www.yagisho.co.jp/product/alpharice/,株式会社ヤギショー,アルファ米,5年,260g,260g,【鶏ごぼうご飯スープ】野菜(ごぼう、にんじん)、鶏肉(ブラジル産)、しょうゆ、清酒、濃縮チキンブイヨン、本みりん、風味調味料、食塩／調味料（アミノ酸等）、（原材料の一部に小麦、鶏肉、大豆、乳を含む）【アルファ化米】うるち米（国産）,小麦、乳、大豆、鶏肉
米々軒 ビーフカレー,http://www.yagisho.co.jp/product/alpharice/,株式会社ヤギショー,アルファ米,5年,260,260g,ビーフカレースープ：野菜(たまねぎ、にんじん)、牛肉(オーストラリア産)、トマトペースト、ビーフエキス調味料、カレー粉、マンゴチャツネ、食用大豆油、チキンエキス調味料、砂糖、食塩、にんにく／調味料(アミノ酸等)、カラメル色素、(一部に牛肉・大豆・鶏肉を含む)アルファ化米(白飯)：うるち米（国産）,牛肉、大豆、鶏肉
米々軒 白いご飯,http://www.yagisho.co.jp/product/alpharice/,株式会社ヤギショー,アルファ米,5年,100g,270g,うるち米（国産）,なし
米々軒 わかめご飯,http://www.yagisho.co.jp/product/alpharice/,株式会社ヤギショー,アルファ米,5年,100g,260g,うるち米（国産）、味付わかめ〈わかめ、食塩、調味料（アミノ酸）〉,なし
低温製法米® アルファ化米 白米,https://www.irisohyama.co.jp/news/2021/?date=0603_2,アイリスフーズ株式会社,アルファ米,5年6ヶ月,100g,260g,うるち米（国産）,なし
低温製法米® アルファ化米 五目御飯,https://www.irisohyama.co.jp/news/2021/?date=0603_2,アイリスフーズ株式会社,アルファ米,5年6ヶ月,100g,260g,うるち米（国産）、こんにゃく、乾燥しいたけ、食塩、乾燥にんじん、乾燥ごぼう、砂糖、かつお節エキス、パーム油、生姜、乾燥ひじき、ほたてエキス調味料／調味料 (アミノ酸等)、カラメル色素、水酸化カルシウム、酸化防止剤 (V.E),なし
低温製法米® アルファ化米 きのこ御飯,https://www.irisohyama.co.jp/news/2021/?date=0603_2,アイリスフーズ株式会社,アルファ米,5年6ヶ月,100g,260g,うるち米（国産）、水煮ぶなしめじ (国内製造)、水煮エリンギ、こんにゃく、みりん、食塩、調味液、乾燥しいたけ、乾燥にんじん、砂糖、パーム油、昆布エキス／調味料 (アミノ酸等)、カラメル色素、水酸化カルシウム、酸味料、酸化防止剤 (V.E)、香料,なし
低温製法米® アルファ化米 わかめ御飯,https://www.irisohyama.co.jp/news/2021/?date=0603_2,アイリスフーズ株式会社,アルファ米,5年6ヶ月,100g,260g,うるち米（国産）、砂糖、わかめ、食塩、昆布パウダー/調味料（アミノ酸等）,なし
低温製法米® アルファ化米 ドライカレー,https://www.irisohyama.co.jp/news/2021/?date=0603_2,アイリスフーズ株式会社,アルファ米,5年6ヶ月,100g,260g,うるち米（国産）、乾燥具材（とうもろこし、人参、ぶどう糖）、調味粉末（カレースパイス、オニオンエキスパウダー、食塩、食物繊維（イヌリン）、酵母エキス、デキストリン、植物油脂）/トレハロース、調味料（アミノ酸等）、微粒酸化ケイ素,なし
早く食べられるアルファ化米 白飯,https://ec.midori-anzen.com/shop/g/gR9482156711/,ミドリ安全株式会社,アルファ米,5年,80g,240g,うるち米（国産）,なし
早く食べられるアルファ化米 わかめご飯,https://ec.midori-anzen.com/shop/g/gR9482156712/,ミドリ安全株式会社,アルファ米,5年,80g,240g,うるち米（国産）、調味顆粒（食塩、酵母エキス）、わかめ／調味料（アミノ酸等）、ピロリン酸第二鉄、酸味料,なし
早く食べられるアルファ化米 炊き込みご飯,https://ec.midori-anzen.com/shop/g/gR9482156713/,ミドリ安全株式会社,アルファ米,5年,80g,230g,うるち米（国産）、調味顆粒（砂糖、食塩、しいたけ粉末、しいたけエキス、酵母エキス、かつお節粉末、昆布粉末、コーンスターチ）、しいたけ、ごぼう、にんじん／調味料（アミノ酸）、ビタミンＣ、着色料（カラメル）、ナイアシン、ビタミンＥ、パントテン酸Ｃａ、ビタミンＢ2、ビタミンＢ1、ビタミンＢ6、ビタミンＡ、葉酸、ビタミンＤ、ビタミンＢ12、ｐＨ調整剤,なし
早く食べられるアルファ化米 ドライカレー,https://ec.midori-anzen.com/shop/g/gR9482156714/,ミドリ安全株式会社,アルファ米,5年,80g,220g,うるち米（国産）、調味顆粒（調味香辛料、香味調味料、砂糖、ブイヨン、調味パウダー、カレー粉）、味付けとうもろこし、にんじん、味付けたまねぎ／調味料（アミノ酸等）、ビタミンＣ、香辛料抽出物、ナイアシン、ビタミンＥ、パントテン酸Ｃａ、香料、微粒二酸化ケイ素、ビタミンＢ2、ビタミンＢ1、ビタミンＢ6、酸化防止剤（ビタミンＥ）、ビタミンＡ、甘味料（カンゾウ）、葉酸、ビタミンＤ、ビタミンＢ12,なし
みんなのごはん,https://eco-rice.jp/products/products-top/survival-food/3915.html,有限会社エコ・ライス新潟,アルファ米,5年,100g,260g,新潟県産うるち米,なし
勝太のわかめご飯,https://eco-rice.jp/products/products-top/survival-food/85.html,有限会社エコ・ライス新潟,アルファ米,5年,50g,150g,新潟県産うるち米、宮城県石巻市十三浜産わかめ、塩,なし
わかめごはん,https://eco-rice.jp/products/products-top/survival-food/88.html,有限会社エコ・ライス新潟,アルファ米,5年,100g,260g,新潟県産うるち米、宮城県石巻市十三浜産わかめ、塩,なし
はんぶん米,https://eco-rice.jp/products/products-top/survival-food/90.html,有限会社エコ・ライス新潟,アルファ米,5年,100g,260g,新潟県産春陽,なし
新潟のごはん,https://eco-rice.jp/products/products-top/survival-food/92.html,有限会社エコ・ライス新潟,アルファ米,5年,50g,150g,新潟県産うるち米,なし
